147.0	7.0	2.0	8794.0	67.0
156.0	7.0	2.0	8816.0	39.0
171.0	7.0	2.0	8791.0	39.0
191.0	7.0	2.0	8791.0	40.0
226.0	32.0	2.0	7987.0	35.0
295.0	32.0	2.0	7987.0	62.0
329.0	32.0	2.0	7987.0	57.0
373.0	43.0	4.0	6312.0	57.0
408.0	43.0	4.0	3128.0	48.0
488.0	74.0	4.0	5564.0	39.0
557.0	74.0	4.0	3128.0	41.0
678.0	78.0	4.0	1093.0	37.0
799.0	78.0	4.0	1093.0	37.0
929.0	95.0	5.0	892.0	57.0
1083.0	110.0	7.0	790.0	55.0
1507.0	131.0	7.0	827.0	57.0
1646.0	232.0	8.0	827.0	57.0
1760.0	239.0	8.0	827.0	78.0
1846.0	241.0	8.0	722.0	69.0
1973.0	280.0	11.0	525.0	61.0
2267.0	327.0	14.0	545.0	63.0
2458.0	368.0	17.0	577.0	60.0
2771.0	411.0	20.0	493.0	60.0
2926.0	460.0	23.0	493.0	54.0
3077.0	489.0	27.0	493.0	43.0
3238.0	489.0	27.0	306.0	41.0
3436.0	544.0	27.0	344.0	44.0
3726.0	708.0	29.0	345.0	48.0
